都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
山口県,,山口県,,はまゆう苑あやらぎ,,訪問介護,下関市綾羅木新町3－11－40,,34.011292,130.922928,083-251-1113,,083-251-1118,,社会福祉法人 松涛会,3570100036,,,,,
山口県,,山口県,,医療法人茜会桜山ホームヘルパーステーション,,訪問介護,下関市上新地町2－6－26,,33.96093,130.92128,083-223-1367,,083-223-1385,,医療法人茜会,3570100176,,,,,
山口県,,山口県,,医療法人茜会勝山ホームヘルパーステーション,,訪問介護,下関市秋根南町2－3－7,,34.007889,130.954758,083-257-2662,,083-250-8133,,医療法人茜会,3570100184,,,,,
山口県,,山口県,,豊前田ホームヘルパーステーション,,訪問介護,下関市豊前田町2－4－10　　2Ｆ,,33.952354,130.926575,083-228-1988,,083-223-2684,,医療法人 其桃会,3570100192,,,,,
山口県,,山口県,,長府ケアハウスホームヘルプサービスセンター,,訪問介護,下関市長府黒門南町6－53,,33.983883,130.985168,083-246-8444,,083-246-8445,,社会福祉法人さわやか会,3570100283,,,,,
山口県,,山口県,,ホームヘルパーステーション安岡,,訪問介護,下関市横野町3－1－2,,34.03476,130.913177,083-250-6891,,083-250-6876,,社会医療法人 松涛会,3570100291,,,,,
山口県,,山口県,,彦島ホームヘルパーステーション,,訪問介護,下関市彦島江の浦町9－4－5,,33.92981,130.917984,083-266-6687,,083-266-1315,,社会医療法人 松涛会,3570100309,,,,,
山口県,,山口県,,有限会社 ゴールデン・エイジ・サービス,,訪問介護,下関市武久町1－39－6,,33.979492,130.922607,083-255-2005,,083-254-7403,,有限会社 ゴールデン・エイジ・サービス,3570100325,,,,,
山口県,,山口県,,ニチイケアセンター下関,,訪問介護,下関市細江町2－2－1　　原弘産ビル3Ｆ,,33.9519,130.931519,083-228-6451,,083-228-6452,,株式会社ニチイ学館,3570100382,,,,,
山口県,,山口県,,豊関介護サービス株式会社,,訪問介護,下関市生野町2－19－6,,33.982876,130.933563,083-251-1188,,083-251-2377,,豊関介護サービス株式会社,3570100390,,,,,
山口県,,山口県,,アイユウ長府ホームヘルプサービス事業部,,訪問介護,下関市長府南之町1－1,,33.997856,130.990936,083-246-6430,,083-227-2481,,医療法人 松永会,3570100416,,,,,
山口県,,山口県,,みどり園訪問介護事業所,,訪問介護,下関市長府才川2－21－1,,34.024536,130.999893,083-248-2639,,083-248-0866,,社会福祉法人 朋愛会,3570100432,,,,,
山口県,,山口県,,アイユウの苑ホームヘルプサービス,,訪問介護,下関市彦島迫町3－17－2,,33.938328,130.900558,083-261-1372,,083-266-7276,,社会福祉法人 松美会,3570100556,,,,,
山口県,,山口県,,ホームヘルパーステーション員光,,訪問介護,下関市員光1544,,34.050526,130.984467,083-248-5115,,083-248-5118,,社会福祉法人 やまばと会員光園,3570100697,,,,,
山口県,,山口県,,株式会社 セービング,,訪問介護,下関市小月宮の町7－3,,34.074059,131.038132,083-281-1221,,083-281-1220,,株式会社セービング,3570100838,,,,,
山口県,,山口県,,愛グループ シャングリラ,,訪問介護,下関市みもすそ川町23－1,,33.968121,130.955322,083-231-1165,,083-223-5681,,株式会社 日本セレモニー,3570100879,,,,,
山口県,,山口県,,王喜の郷ホームヘルパーステーションいるか,,訪問介護,下関市王喜本町6－1－12,,34.063911,131.052368,083-283-2834,,083-283-2060,,社会福祉法人緑樹会,3570100903,,,,,
山口県,,山口県,,ピア ヘルパーステーション どりーむ,,訪問介護,下関市新地町4－22,,33.955334,130.921463,083-242-9952,,083-242-9953,,特定非営利活動法人 ヒューマンネットワーク ピア,3570101075,,,,,
山口県,,山口県,,ＮＰＯ法人 らいと,,訪問介護,下関市秋根南町1－1－5,,34.008095,130.952164,083-263-2687,,083-263-2688,,特定非営利活動法人らいと,3570101083,,,,,
山口県,,山口県,,有限会社 ライフサポートたきやま,,訪問介護,下関市豊田町西市48,,34.202335,131.075424,083-766-0642,,083-766-1718,,有限会社 ライフサポートたきやま,3577800356,,,,,
山口県,,山口県,,安夢住ケアセンター下関,,訪問介護,下関市長府松小田北町15－18,,34.021812,130.995773,083-245-5113,,083-245-5173,,有限会社 アムズ,3570101174,,,,,
山口県,,山口県,,しゃくなげ園ヘルパーステーション,,訪問介護,下関市田倉80－2,,34.022175,130.975433,083-256-3670,,083-256-3673,,社会福祉法人 しゃくなげ園,3570101216,,,,,
山口県,,山口県,,ヘルパーセンター山風,,訪問介護,下関市永田郷440－3,,34.096703,130.892853,083-286-7115,,083-286-6791,,社会福祉法人 山口県盲人福祉協会,3570101240,,,,,
山口県,,山口県,,ティーワスヘルパーステーション,,訪問介護,下関市秋根本町2－9－20,,34.009666,130.951721,083-263-1011,,083-250-7783,,ティーワス株式会社,3570101281,,,,,
山口県,,山口県,,ハートケアセンター下関,,訪問介護,下関市豊前田町3－2－7　下関第一ビル1Ｆ,,33.950855,130.927734,083-228-0336,,083-228-0337,,有限会社ライフプラス,3570101299,,,,,
山口県,,山口県,,三伶ヘルパーステーション,,訪問介護,下関市一の宮町4－10－19,,33.99509,130.948654,083-260-1260,,083-260-1262,,株式会社燦伶,3570101513,,,,,
山口県,,山口県,,梨花の里ホームヘルパーステーション,,訪問介護,下関市豊北町滝部11042－1,,34.295853,130.946243,083-782-0305,,083-782-0121,,社会福祉法人豊北福祉会,3577800463,,,,,
山口県,,山口県,,ファミリーケア・雅,,訪問介護,下関市稗田北町10－27,,33.996967,130.931076,083-250-1620,,083-250-1622,,有限会社ファミリーケア・雅,3570101828,,,,,
山口県,,山口県,,下関市社協豊北ホームヘルパーステーション,,訪問介護,下関市豊北町滝部3140－1,,34.295853,130.946243,083-784-1028,,083-784-1247,,社会福祉法人下関市社会福祉協議会,3570102032,,,,,
山口県,,山口県,,下関市社協下関ホームヘルパーステーション,,訪問介護,下関市貴船町3－4－1,,33.968594,130.941864,083-232-2005,,083-232-3434,,社会福祉法人下関市社会福祉協議会,3570102040,,,,,
山口県,,山口県,,下関市社協豊田ホームヘルパーステーション,,訪問介護,下関市豊田町矢田194,,34.202244,131.070801,083-767-0488,,083-766-2190,,社会福祉法人下関市社会福祉協議会,3570102099,,,,,
山口県,,山口県,,下関市社協豊浦ホームヘルパーステーション,,訪問介護,下関市豊浦町川棚6895－1,,34.14529,130.924118,083-775-4139,,083-774-3528,,社会福祉法人下関市社会福祉協議会,3570102115,,,,,
山口県,,山口県,,ホームヘルプサービスセンターＳＵＮ,,訪問介護,下関市豊浦町吉永1815－1,,34.1297,130.925858,083-774-3915,,083-774-3916,,社会福祉法人響会,3570102149,,,,,
山口県,,山口県,,菊川ヘルパーステーションひかり,,訪問介護,下関市菊川町下岡枝389－1,,34.127308,131.035873,083-288-2027,,083-288-2028,,株式会社介援,3570102461,,,,,
山口県,,山口県,,神田福祉介護サービス,,訪問介護,下関市豊北町阿川3647－2,,34.329491,130.929703,083-786-1058,,083-786-1058,,有限会社神田タクシー,3570102537,,,,,
山口県,,山口県,,済生会貴船福祉ケアセンター貴船園ヘルパーステーション,,訪問介護,下関市貴船町3－4－1,,33.968594,130.941864,083-223-0261,,083-223-0271,,社会福祉法人恩賜財団済生会支部山口県済生会,3570102578,,,,,
山口県,,山口県,,松涛園ホームヘルパーステーション,,訪問介護,下関市豊北町神田上1893,,34.281658,130.900955,083-788-0026,,083-788-0646,,社会福祉法人豊北福祉会,3570102800,,,,,
山口県,,山口県,,豊寿苑ホームヘルパーステーション,,訪問介護,下関市豊浦町厚母郷10442,,34.110443,130.903198,083-772-0107,,083-772-0108,,社会福祉法人 豊浦福祉会,3570102917,,,,,
山口県,,山口県,,アビイヘルパーステーション,,訪問介護,下関市清末鞍馬2－4－15,,34.063606,131.025879,083-283-0953,,083-281-3339,,株式会社 アビイ,3570103121,,,,,
山口県,,山口県,,ホームヘルプサービス ほがらか,,訪問介護,下関市彦島向井町2－10－36,,33.919777,130.918121,083-294-2172,,083-294-2173,,株式会社東,3570103170,,,,,
山口県,,山口県,,ふくしサービスセンターあゆむ,,訪問介護,下関市東神田町1－10,,33.960415,130.927429,083-229-2940,,083-229-2941,,社会福祉法人グリーンコープ,3570103253,,,,,
山口県,,山口県,,武久興産指定訪問介護事業所,,訪問介護,下関市西大坪町18－13,,33.961582,130.915024,083-222-2551,,083-222-2574,,武久興産株式会社,3570103436,,,,,
山口県,,山口県,,ケアライフくろいヘルパーステーション,,訪問介護,下関市豊浦町黒井10634－5,,34.119259,130.920685,083-775-1765,,083-775-1766,,有限会社ベストライフ,3570103584,,,,,
山口県,,山口県,,あいサービス下関,,訪問介護,下関市幸町13－25　　増田ビル2Ｆ,,33.962883,130.944,083-250-8475,,083-250-8476,,合同会社ソレイユ,3570103923,,,,,
