都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,介護サービス事業所名称,介護サービス事業所名称_カナ,実施サービス,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,備考
山口県,,山口県,,ニチイケアセンター岩国,ニチイケアセンターイワクニ,訪問介護,岩国市川西3－5－40,,34.15617,132.175751,0827-44-0511,,0827-41-3651,,株式会社ニチイ学館,3570800015,,,,,
山口県,,山口県,,医療法人錦病院指定居宅介護サービス事業ヘルパーセンターあいりす,イリョウホウジンニシキビョウインシテイキョタクカイゴサービスジギョウヘルパーセンターアイリス,訪問介護,岩国市錦見7－16－1,,34.159916,132.18718,0827-44-0080,,0827-44-0535,,医療法人 錦病院,3570800155,,,,,
山口県,,山口県,,ふれんず在宅介護支援センターヘルパーチーム,フレンズザイタクカイゴシエンセンターヘルパーチーム,訪問介護,岩国市今津町1－11－23,,34.166946,132.220749,0827-21-5135,,0827-21-5133,,医療法人社団 まりふ会,3570800312,,,,,
山口県,,山口県,,美和苑ヘルパーステーション,ミワエンヘルパーステーション,訪問介護,岩国市美和町生見12538,,34.247898,132.086365,0827-96-1158,,0827-96-0446,,社会福祉法人 美和福祉会,3577200433,,,,,
山口県,,山口県,,錦苑ヘルパーステーション,ニシキエンヘルパーステーション,訪問介護,岩国市錦町広瀬758,,34.274345,131.921814,0827-72-3523,,0827-72-3562,,社会福祉法人 錦福祉会,3577200441,,,,,
山口県,,山口県,,平成ホームヘルパーステーション黒磯,ヘイセイホームヘルパーステーションクロイソ,訪問介護,岩国市黒磯町2－50－14,,34.10331,132.194519,0827-34-2257,,0827-34-2258,,社会福祉法人 平成記念会,3570800429,,,,,
山口県,,山口県,,ヘルパーステーションあおぞら,ヘルパーステーションアオゾラ,訪問介護,岩国市多田3－104－4－201,,34.180756,132.168777,0827-44-1414,,0827-44-1415,,有限会社 ネクストテン,3570800726,,,,,
山口県,,山口県,,第一あんしんサービス岩国,ダイイチアンシンサービスイワクニ,訪問介護,岩国市南岩国町4－65－28,,34.127892,132.198929,0827-34-5917,,0827-34-5920,,第一交通株式会社,3570800742,,,,,
山口県,,山口県,,ヘルパーステーションあいあい,ヘルパーステーションアイアイ,訪問介護,岩国市通津1967－1－Ｂ104,,34.073696,132.182037,0827-38-0090,,0827-38-0095,,有限会社 あいあい,3570800890,,,,,
山口県,,山口県,,社会福祉法人岩国市社会福祉協議会社協ヘルパーセンター岩国,シャカイフクシホウジンイワクニシシャカイフクシキョウギカイシャキョウヘルパーセンターイワクニ,訪問介護,岩国市南岩国町3－3－14,,34.132782,132.20166,0827-28-6108,,0827-28-6109,,社会福祉法人岩国市社会福祉協議会,3570801062,,,,,
