全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
352071,KD0000900001,山口県下松市,さくら苑指定居宅介護支援事業所,サクラエンシテイキョタクカイゴシエンジギョウショ,,居宅介護支援事業所,352071,,山口県下松市瑞穂町2-21-1,山口県,下松市,瑞穂町2,21-1,,34.0237061,131.8519855,,,0833-43-8123,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900002,山口県下松市,指定居宅介護支援事業所げんき,シテイキョタクカイゴシエンジギョウショゲンキ,,居宅介護支援事業所,352071,,山口県下松市大字西豊井1655-3,山口県,下松市,大字西豊井,1655-3,,34.018663,131.875538,,,0833-45-2200,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900003,山口県下松市,JA介護支援センター下松,ジェイエイカイゴシエンセンタークダマツ,,居宅介護支援事業所,352071,,山口県下松市大字河内1933-1,山口県,下松市,大字河内,1933-1,,34.016846,131.864629,,,0833-45-2340,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900004,山口県下松市,松寿苑指定居宅介護支援事業所,ショウジュエンシテイキョタクカイゴシエンジギョウショ,,居宅介護支援事業所,352071,,山口県下松市大字来巻944-1,山口県,下松市,大字来巻,944-1,,34.023756,131.9299953,,,0833-47-1200,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900005,山口県下松市,居宅介護支援事業所きらら,キョタクカイゴシエンジギョウショキララ,,居宅介護支援事業所,352071,,山口県下松市生野屋南1-10-1,山口県,下松市,生野屋南1,10-1,,34.032909,131.8766242,,,0833-41-6175,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900006,山口県下松市,ほしのさと居宅介護支援事業所,ホシノサトキョタクカイゴシエンジギョウショ,,居宅介護支援事業所,352071,,山口県下松市生野屋南1-13-1,山口県,下松市,生野屋南1,13-1,,34.0314758,131.8741674,,,0833-44-5151,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900007,山口県下松市,ル・モンド下松居宅介護支援事業所,ル・モンドクダマツキョタクカイゴシエンジギョウショ,,居宅介護支援事業所,352071,,山口県下松市望町1-11-28,山口県,下松市,望町1,11-28,,34.0280653,131.8610153,,,0833-48-1088,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900008,山口県下松市,ケアプランセンターねがい星,ケアプランセンターネガイボシ,,居宅介護支援事業所,352071,,山口県下松市東陽6-1-3,山口県,下松市,東陽6,1-3,,34.0322838,131.9140457,,,0833-46-0015,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900009,山口県下松市,のんびり村花岡居宅介護支援事業所 ,ノンビリムラハナオカキョタクカイゴシエンジギョウショ,,居宅介護支援事業所,352071,,山口県下松市大字末武上1800-1,山口県,下松市,大字末武上,1800-1,,34.0362472,131.8706652,,,0833-48-3388,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900010,山口県下松市,居宅介護支援事業所あじさい,キョタクカイゴシエンジギョウショアジサイ,,居宅介護支援事業所,352071,,山口県下松市大字末武中41-6,山口県,下松市,大字末武中,41-6,,34.0248717,131.8419522,,,0833-44-0370,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
