教育機関_学校コード,教育機関_学校種,教育機関_都道府県番号,教育機関_設置区分,教育機関_設置者情報,教育機関_本分校,教育機関_本校学校コード,教育機関_本校学校名,教育機関_学校名,教育機関_学校名カナ表記,教育機関_学校略称,教育機関_学校所在地（市区町村）,教育機関_学校所在地（町字）,教育機関_学校所在地（番地以下）,教育機関_郵便番号,緯度,経度,教育機関_連絡先名称,教育機関_連絡先電話番号,教育機関_属性情報設定年月日,教育機関_属性情報廃止年月日,教育機関_旧学校調査番号,教育機関_移行後の学校コード
A135310000697,A1(幼稚園),35,3,,1,,,下松幼稚園,クダマツヨウチエン,,山口県下松市,大手町１丁目,５番１０号,744-0015,34.01220152,131.8666444,代表,44-1705,2020/12/22,,356662,
A135310000704,A1(幼稚園),35,3,,1,,,鋼鈑幼稚園,コウハンヨウチエン,,山口県下松市,美里町１丁目,９番１号,744-0073,34.02404078,131.8645036,代表,43-0581,2020/12/22,,356663,
A135310000713,A1(幼稚園),35,3,,1,,,江口幼稚園,エグチヨウチエン,,山口県下松市,大字東豊井字江口,１０５９番地１７,744-0002,33.99878471,131.8778503,代表,41-2570,2020/12/22,,356664,
A135310000722,A1(幼稚園),35,3,,1,,,認定こども園　末光幼稚園,ニンテイコドモエン　スエミツヨウチエン,,山口県下松市,桜町１丁目,２番１４号,744-0019,34.01780224,131.872204,代表,41-3866,2020/12/22,,356666,
A135310000731,A1(幼稚園),35,3,,1,,,認定こども園　下松慈光幼稚園,ニンテイコドモエン　クダマツジコウヨウチエン,,山口県下松市,大字西豊井,７７３番地１,744-0011,34.0089321,131.8726949,代表,41-0330,2020/12/22,,356667,
A135310000759,A1(幼稚園),35,3,,1,,,下松暁の星幼稚園,クダマツアケノホシヨウチエン,,山口県下松市,旗岡１丁目,５番１号,744-0006,34.01058074,131.8768225,代表,41-4019,2020/12/22,,356672,
A235310000240,A2：幼保連携型 認定こども園,35,3,,1,,,幼保連携型認定こども園　四恩幼稚園,ヨウホレンケイガタニンテイコドモエン　シオンヨウチエン,,山口県下松市,大字末武上,１２３５番地,744-0024,34.03725332,131.8739603,代表,43-7245,2025/5/30,,,
B135210001222,B1(小学校),35,2,,1,,,下松市立下松小学校,クダマツシリツクダマツショウガッコウ,,山口県下松市,大字西豊井,６９８番地,744-0011,34.01235154,131.8711109,代表,41-0062,2020/12/22,,350181,
B135210001231,B1(小学校),35,2,,1,,,下松市立久保小学校,クダマツシリツクボショウガッコウ,,山口県下松市,大字河内,７６４番地３,744-0061,34.03002637,131.9080191,代表,46-0707,2020/12/22,,350182,
B135210001240,B1(小学校),35,2,,1,,,下松市立公集小学校,クダマツシリツコウシュウショウガッコウ,,山口県下松市,潮音町１丁目,１番１号,744-0074,34.01917883,131.8560172,代表,41-0336,2020/12/22,,350183,
B135210001259,B1(小学校),35,2,,1,,,下松市立花岡小学校,クダマツシリツハナオカショウガッコウ,,山口県下松市,大字末武上,２５５番地１,744-0024,34.03841494,131.8737581,代表,43-8137,2020/12/22,,350184,
B135210001268,B1(小学校),35,2,,1,,,下松市立豊井小学校,クダマツシリツトヨイショウガッコウ,,山口県下松市,大字東豊井,１１３４番地１,744-0002,33.99978697,131.877933,代表,41-0531,2020/12/22,,350185,
B135210001277,B1(小学校),35,2,,1,,,下松市立中村小学校,クダマツシリツナカムラショウガッコウ,,山口県下松市,清瀬町２丁目,６番１号,744-0071,34.02974155,131.8550773,代表,41-0081,2020/12/22,,350189,
B135210001295,B1(小学校),35,2,,1,,,下松市立東陽小学校,クダマツシリツトウヨウショウガッコウ,,山口県下松市,東陽４丁目,１７番１号,744-0043,34.03547746,131.9137884,代表,46-3110,2020/12/22,,350191,
C135210000720,C1(中学校),35,2,,1,,,下松市立下松中学校,クダマツシリツクダマツチュウガッコウ,,山口県下松市,古川町２丁目,１番１号,744-0005,34.00932981,131.8711127,代表,41-0761,2020/12/22,,353721,
C135210000739,C1(中学校),35,2,,1,,,下松市立久保中学校,クダマツシリツクボチュウガッコウ,,山口県下松市,大字山田,１２２番地,744-0041,34.03012175,131.8999355,代表,46-0712,2020/12/22,,353722,
C135210000748,C1(中学校),35,2,,1,,,下松市立末武中学校,クダマツシリツスエタケチュウガッコウ,,山口県下松市,美里町一丁目,８番１号,744-0073,34.02596495,131.8654025,代表,44-8021,2020/12/22,,353723,
D135210000103,D1(高校),35,2,,1,,,山口県立下松高等学校,ヤマグチケンリツクダマツコウトウガッコウ,,山口県下松市,若宮町,１２番１号,744-0063,34.02235482,131.8813775,代表,41-0157,2020/12/22,,355622,
D135210000112,D1(高校),35,2,,1,,,山口県立下松工業高等学校,ヤマグチケンリツクダマツコウギョウコウトウガッコウ,,山口県下松市,美里町４丁目,１３番１号,744-0073,34.01985562,131.8583049,代表,41-1430,2020/12/22,,355623,
D135210000390,D1(高校),35,2,,1,,,山口県立華陵高等学校,ヤマグチケンリツカリョウコウトウガッコウ,,山口県下松市,末武上,２１７番地２,744-0024,34.04139205,131.875661,代表,44-1285,2020/12/22,,355709,
