公園_全国地方公共団体コード,地物・地点_ID,公園_ID,公園_名称,公園_名称（カナ）,公園_名称（英字）,公園_説明,緯度,経度,公園_座標参照系,公園_座標参照系コード,画像,公園_画像_ライセンス,公園_所在地,公園_面積（平方メートル）,公園_遊具,公園_トイレ,公園_駐車場,公園_備考,公園_市民レポート
352071,,kdpark000001,金輪街区公園,カナワガイクコウエン,,街区公園,34.009204,131.869201,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/001kanawagaikukouenn.jpg,CC BY 4.0,下松市北斗町11,1065,すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000002,薬街区公園,ヤクガイクコウエン,,街区公園,34.0177183,131.8683486,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/002yakugaikukouenn.jpg,CC BY 4.0,下松市桜町一丁目17,1700,複合遊具,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000003,宮前街区公園,ミヤマエガイクコウエン,,街区公園,34.0041508,131.8719498,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/003miyamaegaikukouenn.jpg,CC BY 4.0,下松市青柳一丁目8,3595,ブランコ・シーソー,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000004,相生街区公園,アイオイガイクコウエン,,街区公園,34.0113262,131.8654897,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/004aioigaikukouenn.jpg,CC BY 4.0,下松市駅南一丁目1,3254,ブランコ・シーソー・すべり台,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000005,栄町街区公園,サカエマチガイクコウエン,,街区公園,34.0117459,131.8692841,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/005sakaematigaikukouenn.jpg,CC BY 4.0,下松市栄町三丁目8,1623,ブランコ・すべり台,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000006,古川街区公園,フルカワガイクコウエン,,街区公園,34.0072555,131.8711295,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/006hurukawagaikukouenn.jpg,CC BY 4.0,下松市古川町三丁目3,2306,ブランコ・すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000007,半上街区公園,ハンジョウガイクコウエン,,街区公園,34.0031154,131.8748065,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/007hannjougaikukouenn.jpg,CC BY 4.0,下松市琴平町二丁目8,2158,ブランコ・すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000008,西市街区公園,ニシイチガイクコウエン,,街区公園,34.0140505,131.8588735,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/008nisiitigaikukouenn.jpg,CC BY 4.0,下松市西市一丁目10,1866,ブランコ・複合遊具・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000009,旗岡街区公園,ハタオカガイクコウエン,,街区公園,34.0100425,131.8775404,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/009hataokagaikukouenn.jpg,CC BY 4.0,下松市旗岡四丁目2,3059,ブランコ・シーソー・すべり台,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000010,上藤光街区公園,カミトウミツガイクコウエン,,街区公園,34.0294945,131.8684865,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/010kamitoumitugaikukouenn.jpg,CC BY 4.0,下松市藤光町二丁目3,1868,ブランコ・すべり台・鉄棒・健康遊具,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000011,香力西街区公園,コウリキニシガイクコウエン,,街区公園,34.0219608,131.8474671,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/011kourikinisigaikukouenn.jpg,CC BY 4.0,下松市潮音町五丁目4,1509,ブランコ・シーソー・すべり台・鉄棒・健康遊具,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000012,上香力街区公園,カミコウリキガイクコウエン,,街区公園,34.0264145,131.8514718,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/012kamikourikigaikukouenn.jpg,CC BY 4.0,下松市瑞穂町三丁目5,1563,ブランコ・シーソー・すべり台,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000013,森金街区公園,モリガネガイクコウエン,,街区公園,34.0356569,131.9101374,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/013moriganegaikukouenn.jpg,CC BY 4.0,下松市東陽二丁目10,2500,ブランコ・すべり台,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000014,平畑街区公園,ヒラハタガイクコウエン,,街区公園,34.0334731,131.9082227,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/014hirahatagaikukouenn.jpg,CC BY 4.0,下松市東陽一丁目4,2149,ブランコ・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000015,草ケ迫街区公園,クサガサコガイクコウエン,,街区公園,34.0361241,131.9145028,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/015kusagasakogaikukouenn.jpg,CC BY 4.0,下松市東陽三丁目8,2327,ブランコ・すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000016,井手ノ上街区公園,イデノウエガイクコウエン,,街区公園,34.0323857,131.9166539,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/016idenouegaikukouenn.jpg,CC BY 4.0,下松市東陽五丁目4,3262,ブランコ・シーソー・すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000017,花岡公園,ハナオカコウエン,,街区公園,34.0376833,131.8722226,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/017hanaokakouenn.jpg,CC BY 4.0,下松市大字末武上390,4226,ブランコ・複合遊具・健康遊具,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000018,潮音公園,シオネコウエン,,街区公園,34.0216438,131.8497398,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/018sionekouenn.jpg,CC BY 4.0,下松市潮音町三丁目13,806,ブランコ・すべり台・鉄棒・回転ジャングルジム,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000019,西開作公園,ニシカイサクコウエン,,街区公園,34.0193435,131.8478333,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/019nisikaisakukouenn.jpg,CC BY 4.0,下松市潮音町六丁目18,661,ブランコ・シーソー・すべり台・鉄棒・ジャングルジム・健康遊具,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000020,大海町公園,オオノミチョウコウエン,,街区公園,34.0195044,131.8529132,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/020oonomichoukouenn.jpg,CC BY 4.0,下松市潮音町二丁目4,1587,ブランコ・すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000021,久保公園,クボコウエン,,街区公園,34.0289989,131.9057899,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/021kubokouenn.jpg,CC BY 4.0,下松市大字河内944番28,708,ブランコ・ジャングルジム,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000022,岡の原公園,オカノハラコウエン,,街区公園,34.0238603,131.8997214,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/022okanoharakouenn.jpg,CC BY 4.0,下松市大字河内1112番5,1722,ブランコ・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000023,東開作公園,ヒガシカイサクコウエン,,街区公園,34.0178046,131.8530145,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/023higasikaisakukouenn.jpg,CC BY 4.0,下松市潮音町二丁目7,1970,ブランコ・すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000024,新川公園,シンカワコウエン,,街区公園,34.0085106,131.8634549,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/024sinnkawakouenn.jpg,CC BY 4.0,下松市新川二丁目1,1218,ブランコ・シーソー・たこ遊具・ジャングルジム,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000025,山田公園,ヤマダコウエン,,街区公園,34.0414462,131.9071434,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/025yamadakouenn.jpg,CC BY 4.0,下松市大字山田490番6,1060,ブランコ・シーソー・電話すべり台・鉄棒・ジャングルジム・的当て,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000026,昭和通り公園,ショウワドオリコウエン,,街区公園,34.0166635,131.8780995,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/026shouwadoorikouenn.jpg,CC BY 4.0,下松市大字河内2944番1,870,すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000027,来巻公園,クルマキコウエン,,街区公園,34.0194666,131.9243565,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/027kurumakikouenn.jpg,CC BY 4.0,下松市大字来巻569番2,1688,すべり台・鉄棒,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000028,本浦公園,ホンウラコウエン,,街区公園,33.9793468,131.8631171,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/028honnurakouenn.jpg,CC BY 4.0,下松市大字笠戸島1534番1,6003,ブランコ・健康遊具,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000029,中央町第1公園,チュウオウチョウダイイチコウエン,,街区公園,34.0172055,131.8635753,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/029chuuouchoudai1kouenn.jpg,CC BY 4.0,下松市中央町1,1147,鉄棒・ジャングルジム,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000030,吉原公園,ヨシワラコウエン,,街区公園,34.0187558,131.885199,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/030yosiharakouenn.jpg,CC BY 4.0,下松市大字河内2021,1483,ブランコ・すべり台・うんてい,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000031,星が丘第1公園,ホシガオカダイイチコウエン,,街区公園,34.0209305,131.8991987,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/031hosigaokadai1kouenn.jpg,CC BY 4.0,下松市星が丘二丁目1,2661,ブランコ・すべり台・鉄棒・うんてい,1,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000032,中島町公園,ナカシマチョウコウエン,,街区公園,34.013243,131.8622704,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/032nakasimachoukouenn.jpg,CC BY 4.0,下松市中島町一丁目1,662,すべり台・ぶら下がり・シーソー・ラダー・スプリング遊具,,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000033,新町公園,シンマチコウエン,,街区公園,34.0069319,131.8673163,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/033sinnmatikouenn.jpg,CC BY 4.0,下松市大字東豊井2085番4,436,ブランコ・すべり台・鉄棒・ジャングルジム, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000034,一念公園,イチネンコウエン,,街区公園,34.0049993,131.8707343,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/034itinennkouenn.jpg,CC BY 4.0,下松市大字東豊井1447番12,397,ブランコ・鉄棒・ジャングルジム, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000035,緑ヶ丘公園,ミドリガオカコウエン,,街区公園,34.0386121,131.8624568,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/035midorigaokakouenn.jpg,CC BY 4.0,下松市大字末武上939番2,588,ブランコ・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000036,二宮町公園,ニノミヤチョウコウエン,,街区公園,34.0036544,131.8700669,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/036ninomiyachoukouenn.jpg,CC BY 4.0,下松市大字東豊井1302番54,234,ブランコ・すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000037,旗岡一丁目第1公園,ハタオカイッチョウメダイイチコウエン,,街区公園,34.0113529,131.8754578,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/037hataokaicchoumedai1kouenn.jpg,CC BY 4.0,下松市旗岡一丁目1,283,シーソー・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000038,旗岡一丁目第2公園,ハタオカイッチョウメダイニコウエン,,街区公園,34.0110549,131.8743712,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/038hataokaichoumedai2kouenn.jpg,CC BY 4.0,下松市旗岡一丁目10,335,ブランコ・シーソー, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000039,旗岡四丁目公園,ハタオカヨンチョウメコウエン,,街区公園,34.0081087,131.8795147,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/039hataokayonnchoumekouenn.jpg,CC BY 4.0,下松市旗岡四丁目14,343,ブランコ・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000040,旗岡五丁目公園,ハタオカゴチョウメコウエン,,街区公園,34.0080511,131.8765404,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/040hataokagochoumekouenn.jpg,CC BY 4.0,下松市旗岡五丁目7,298,ブランコ・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000041,東万の木公園,ヒガシマンノキコウエン,,街区公園,34.0395103,131.8848543,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/041higasimannnokikouenn.jpg,CC BY 4.0,下松市生野屋一丁目13,428,ブランコ・すべり台・うんてい, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
