全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352071,KD0000500001,山口県下松市,下松市立潮音保育園,クダマツシリツシオネホイクエン,認可公立保育所,352071,,山口県下松市潮音町4-2-1,山口県,下松市,潮音町,4-2-1,,34.0229339,131.8490058,,,,,0833-41-0978,,,,,744-0074,,,,110,3ヶ月から,月火水木金土,07:30,19:00,土曜は18時30分まで(日曜・年末年始等はお休み),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500002,山口県下松市,下松市立あおば保育園,クダマツシリツアオバホイクエン,認可公立保育所,352071,,山口県下松市楠木町1-11-11,山口県,下松市,楠木町,1-11-11,,34.020604,131.863881,,,,,0833-41-0225,,,,,744-0029,,,,170,3ヶ月から,月火水木金土,07:30,19:00,土曜は18時30分まで(日曜・年末年始等はお休み),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500003,山口県下松市,和光保育園,ワコウホイクエン,認可私立保育所,352071,,山口県下松市大字河内2736-1,山口県,下松市,大字河内,2736-1,,34.0199964,131.8785051,,,,,0833-43-8427,,,,,744-0061,,,,90,11ヶ月から,月火水木金土,07:15,19:15,土曜は18時15分まで(日曜・年末年始等はお休み),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500004,山口県下松市,平田保育園,ヒラタホイクエン,認可私立保育所,352071,,山口県下松市美里町3-22-20,山口県,下松市,美里町,3-22-20,,34.023234,131.859982,,,,,0833-41-1588,,,,,744-0073,,,,90,11ヶ月から,月火水木金土,07:20,18:50,土曜は18時20分まで(日曜・年末年始等はお休み),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500005,山口県下松市,愛隣幼児学園,アイリンヨウジガクエン,認可私立保育所,352071,,山口県下松市潮音町1-7-15,山口県,下松市,潮音町,1-7-15,,34.017481,131.8544317,,,,,0833-41-0735,,,,,744-0074,,,,90,11ヶ月から,月火水木金土,07:00,19:00,土曜は18時まで(日曜・年末年始等はお休み),有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500006,山口県下松市,アイグラン保育園潮音,アイグランホイクエンシオネ,認可私立保育所,352071,,山口県下松市潮音町3-12-15,山口県,下松市,潮音町,3-12-15,,34.0224872,131.849652,,,,,0833-48-8408,,,,,744-0074,,,,90,3ヶ月から,月火水木金土,07:00,19:00,日曜・年末年始等はお休み,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500007,山口県下松市,アイグラン保育園宮前,アイグランホイクエンミヤマエ,認可私立保育所,352071,,山口県下松市大字東豊井1507-2,山口県,下松市,大字東豊井,1507-2,,34.0063292,131.8738878,,,,,0833-48-5372,,,,,744-0002,,,,130,3ヶ月から,月火水木金土,07:00,19:00,日曜・年末年始等はお休み,有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500008,山口県下松市,花岡保育園,ハナオカホイクエン,認可私立保育所,352071,,山口県下松市大字生野屋414-1,山口県,下松市,大字生野屋,414-1,,34.03558659999999,131.8762788,,,,,0833-43-8138,,,,,744-0031,,,,120,3ヶ月から,月火水木金土,07:00,19:00,日曜・年末年始等はお休み,有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500009,山口県下松市,くぼ保育園,クボホイクエン,認可私立保育所,352071,,山口県下松市大字山田229-1,山口県,下松市,大字山田,229-1,,34.033043,131.9045865,,,,,0833-48-5391,,,,,744-0041,,,,90,3ヶ月から,月火水木金土,07:00,19:00,日曜・年末年始等はお休み,有,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
352071,KD0000500010,山口県下松市,ニチイキッズ下松清瀬保育園,ニチイキッズクダマツキヨセホイクエン,認可私立保育所,352071,,山口県下松市清瀬町3-1-1,山口県,下松市,清瀬町,3-1-1,,34.0305331,131.8551484,,,,,0833-48-9541,,,,,744-0071,,,,87,3ヶ月から,月火水木金土,07:00,19:00,日曜・年末年始等はお休み,無,,,,,,無,,,,,,https://www.city.kudamatsu.lg.jp/kosodateshien/fukushi/jidou/hoiku.html,,,
