id,original_name,current_name,original_category,current_category,source_id,raw_tags,flags,status,reason,evidence_url
osm-node-10253616807,クスリ岩崎チェーン 西宇部店,クスリ岩崎チェーン 西宇部店,pharmacy,drugstore,node/10253616807,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""クスリ岩崎チェーン 西宇部店""}",ドラッグストアを示唆する名称だが店舗種別の確認が必要,corrected,公式店舗案内で西宇部店の小売店舗としての営業案内を確認し、ドラッグストアへ修正しました。公式地図の代表点とも近接します。調剤窓口・入口の位置を確認した記録ではありません。,https://www.matsukiyococokara-online.com/map/?kid=20002894
osm-node-11389798235,ドラッグストアモリ 防府新田店,ドラッグストアモリ 防府新田店,pharmacy,drugstore,node/11389798235,"{""amenity"": ""pharmacy"", ""healthcare"": ""pharmacy"", ""name"": ""ドラッグストアモリ 防府新田店""}",ドラッグストアを示唆する名称だが店舗種別の確認が必要,corrected,同名店舗の公式案内で医薬品・化粧品・雑貨・食品の取扱いを確認し、ドラッグストアへ分類を修正しました。点と建物の重複候補は未統合です。位置・入口・現在の営業を確認した記録ではありません。,https://www.doramori.co.jp/store/12209.html/
osm-node-12376670726,おかもと内閣,おかもと内閣,clinic,clinic,node/12376670726,"{""amenity"": ""doctors"", ""check_date"": ""2024-11-27"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""internal"", ""name"": ""おかもと内閣""}",名称の誤記候補（移転・改称も照合が必要）,pending,公式の現在名は「おかもと腎クリニック」、所在地は周南市二番町です。原本の「おかもと内閣」は誤記候補ですが、旧位置との移転前後の対応が未確定のため、名称・位置を変更していません。,https://okamoto-kidney.com/
osm-node-12383832808,きわのもり歯科クリニック,きわのもり歯科クリニック,hospital,clinic,node/12383832808,"{""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""dental_oral_maxillo_facial_surgery;orthodontics"", ""name"": ""きわのもり歯科クリニック""}",病院分類だが歯科診療所の可能性,corrected,公式サイトの歯科医院という案内とOSMの歯科専門タグを照合し、診療所へ分類を修正しました。診療所には歯科を含みます。地図上の位置・入口・現在の診療状況は未確認です。,https://www.kiwanomori-dc.com/
osm-node-12487748792,コスモス東岐波店,コスモス東岐波店,supermarket,drugstore,node/12487748792,"{""name"": ""コスモス東岐波店"", ""shop"": ""supermarket""}",ドラッグストアを示唆する名称だが店舗種別の確認が必要,corrected,コスモス東岐波店の公式案内で医薬品・化粧品・日用品・食品の取扱いを確認し、スーパーからドラッグストアへ修正しました。公式店舗の住所・代表点を照合しましたが、入口位置は未確認です。,https://www.cosmospc.co.jp/shop/chugoku/yamaguchi/95020.html
osm-node-12919501779,ローソン,ローソン,supermarket,supermarket,node/12919501779,"{""name"": ""ローソン"", ""shop"": ""supermarket""}",コンビニを示唆する名称だが店舗種別の確認が必要,pending,下関元町店が照合候補です。県の店舗一覧には元町1-20のローソンが掲載されていますが、支店名のない原本位置と公式店舗地図の対応を確定できていません。スーパー分類を暫定維持しています。,https://www.pref.yamaguchi.lg.jp/uploaded/attachment/225611.pdf
osm-node-12919548570,ローソン,ローソン,supermarket,convenience,node/12919548570,"{""name"": ""ローソン"", ""shop"": ""supermarket""}",コンビニを示唆する名称だが店舗種別の確認が必要,corrected,ローソン公式の下関新地町店の住所・地図代表点と照合し、スーパーからコンビニへ修正しました。原本の名称・位置は維持し、入口位置は未確認です。,https://crew.lawson.co.jp/jobfind-pc/job/All/146082/map
osm-node-1423654564,周防大島町立橘病院,周防大島町立橘医院,clinic,clinic,node/1423654564,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""周防大島町立橘病院"", ""note"": ""National-Land Numerical Information (Public Facility) 2006, MLIT Japan"", ""note:ja"": ""国土数値情報（公共施設データ）平成19年　国土交通省"", ""source"": ""KSJ2"", ""source_ref"": ""http://nlftp.mlit.go.jp/ksj/jpgis/datalist/KsjTmplt-P02-v2_0.html""}",診療所分類と病院という名称の不一致,corrected,町の公式再編計画で、橘病院は2020年に診療所「橘医院」となり、2024年に無床化したことを確認しました。診療所分類を維持し、名称を「周防大島町立橘医院」へ修正しました。入口位置は未確認です。,https://www.town.suo-oshima.lg.jp/uploaded/attachment/20072.pdf
osm-node-2253200282,クスリ岩崎チェーン,クスリ岩崎チェーン,pharmacy,drugstore,node/2253200282,"{""amenity"": ""pharmacy"", ""check_date"": ""2026-03-20"", ""name"": ""クスリ岩崎チェーン"", ""source"": ""Pushpin for iOS""}",ドラッグストアを示唆する名称だが店舗種別の確認が必要,corrected,公式の湯田温泉駅前店の所在地・地図代表点と原本位置を照合し、ドラッグストアへ修正しました。支店名のない原本名称は維持しています。入口位置・調剤窓口は未確認です。,https://www.matsukiyococokara-online.com/map/?kid=20002875
osm-node-2303175267,よしとみ整骨院,よしとみ整骨院,clinic,reference,node/2303175267,"{""amenity"": ""doctors"", ""name"": ""よしとみ整骨院"", ""source"": ""Bing""}",人の医科・歯科の分類と施設名が不整合の可能性,out_of_scope,施設自身の整骨院という案内を確認したため、医科・歯科の「診療所」から外しました。参考記録として名称検索と共有リンクを残しています。位置・入口・現在の営業は未確認です。,https://harechoru.com/
