id,name,source_ids,source_match,original_category,current_category,geometry_preserved,id_preserved,status
sunpark,おのだサンパーク,way/180897597;way/180897599,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
seamall,シーモール,way/257074927,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
yamaguchi,ゆめタウン山口,way/405965521,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
hohu,ゆめタウン防府,node/3951251460,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
ube,ゆめタウン宇部,way/252844282,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
chohu,ゆめタウン長府,way/291544092,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
shinnanyo,ゆめタウン新南陽,way/305642626,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
tokuyama,ゆめタウン徳山,node/4391628789,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
yanai,ゆめタウン柳井,way/391860167,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
kudamatsu,ゆめタウン下松,way/305489780,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
youmecity,ゆめシティ,way/323684106,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
aeon-hofu,イオンタウン防府,node/4041110342,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
aeon-ogori,イオンタウン小郡,way/391862840,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
sunlive-kudamatsu,サンリブ下松,node/8704546617,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
aeon-shunan,イオンタウン周南,node/3205773363,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
fuji-ube,フジグラン宇部,way/239167795,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
fuji-yamaguchi,フジグラン山口,way/374499083,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
fuji-iwakuni,フジグラン岩国,way/561502888,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
minamiiwakuni,ゆめタウン南岩国,node/2508259668,curated_snapshot_unchanged,mall,mall,True,True,no_rule_flag
maruki-nakagawa,ウェスタまるき中川店,way/740120977,curated_snapshot_unchanged,supermarket,supermarket,True,True,no_rule_flag
cosmos-onoda,コスモス小野田店,way/332618148,curated_snapshot_unchanged,drugstore,drugstore,True,True,no_rule_flag
cosmos-marugouchi,コスモス丸河内店,node/9472329358,curated_snapshot_unchanged,drugstore,drugstore,True,True,no_rule_flag
osm-node-10253616807,クスリ岩崎チェーン 西宇部店,node/10253616807,saved_osm_element,pharmacy,pharmacy,True,True,pending
osm-node-10253619860,ファミリーマート,node/10253619860,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-10275660943,セブンイレブン宇部島2丁目店,node/10275660943,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-10275726015,セブン-イレブン,node/10275726015,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-10727238359,セブン-イレブン,node/10727238359,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-10915439394,セブン-イレブン,node/10915439394,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-10932637345,ローソン,node/10932637345,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-11349237599,Marine Corps Exchange (MCX),node/11349237599,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-11389798235,ドラッグストアモリ 防府新田店,node/11389798235,saved_osm_element,pharmacy,drugstore,True,True,corrected
osm-node-11420251609,セブン-イレブン,node/11420251609,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-11468850828,ファミリーマート,node/11468850828,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-11548197840,セブン-イレブン 湯田温泉スマ―トインタ―店,node/11548197840,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-11933833241,ファミリーマート,node/11933833241,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-11933957300,セブン-イレブン,node/11933957300,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-12064835867,朋和会薬局,node/12064835867,saved_osm_element,pharmacy,pharmacy,True,True,no_rule_flag
osm-node-12229478813,ダイレックス,node/12229478813,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
