文部科学省　学校コード一覧,,,,,,,,,,更新日：,2026/5/20
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
A125110000014,A1(幼稚園),25(滋賀),1(国),1(本),滋賀大学教育学部附属幼稚園,滋賀県大津市昭和町１０－３,5200817,2020-12-22,,256501,
A125220100010,A1(幼稚園),25(滋賀),2(公),9(廃),大津市立伊香立幼稚園,滋賀県大津市伊香立下在地町１３１０,5200352,2020-12-22,2021-05-27,256511,A125220100314
A125220100029,A1(幼稚園),25(滋賀),2(公),1(本),大津市立真野幼稚園,滋賀県大津市真野４－６－２７,5200232,2020-12-22,,256512,
A125220100038,A1(幼稚園),25(滋賀),2(公),1(本),大津市立堅田幼稚園,滋賀県大津市本堅田３－７－１７,5200242,2020-12-22,,256513,
A125220100047,A1(幼稚園),25(滋賀),2(公),1(本),大津市立下阪本幼稚園,滋賀県大津市下阪本４－１５－１２,5200105,2020-12-22,,256516,
A125220100056,A1(幼稚園),25(滋賀),2(公),1(本),大津市立志賀幼稚園,滋賀県大津市勧学一丁目８－１,5200013,2020-12-22,,256517,
A125220100065,A1(幼稚園),25(滋賀),2(公),1(本),大津市立長等幼稚園,滋賀県大津市三井寺町１０番３０号,5200034,2020-12-22,,256519,
A125220100074,A1(幼稚園),25(滋賀),2(公),1(本),大津市立逢坂幼稚園,滋賀県大津市音羽台６－２,5200053,2020-12-22,,256520,
A125220100083,A1(幼稚園),25(滋賀),2(公),1(本),大津市立大津幼稚園,滋賀県大津市島の関１－５０,5200042,2020-12-22,,256521,
A125220100092,A1(幼稚園),25(滋賀),2(公),1(本),大津市立平野幼稚園,滋賀県大津市馬場１－５－２８,5200802,2020-12-22,,256522,
A125220100109,A1(幼稚園),25(滋賀),2(公),1(本),大津市立膳所幼稚園,滋賀県大津市中庄二丁目６－５,5200837,2020-12-22,,256523,
A125220100118,A1(幼稚園),25(滋賀),2(公),1(本),大津市立晴嵐幼稚園,滋賀県大津市鳥居川町１５－２２,5200854,2020-12-22,,256524,
A125220100127,A1(幼稚園),25(滋賀),2(公),1(本),大津市立石山幼稚園,滋賀県大津市石山寺３－１７－８,5200861,2020-12-22,,256525,
A125220100136,A1(幼稚園),25(滋賀),2(公),1(本),大津市立大石幼稚園,滋賀県大津市大石中一丁目５－９,5202263,2020-12-22,,256526,
A125220100145,A1(幼稚園),25(滋賀),2(公),1(本),大津市立田上幼稚園,滋賀県大津市関津６丁目１９－８,5202277,2020-12-22,,256527,
A125220100154,A1(幼稚園),25(滋賀),2(公),1(本),大津市立上田上幼稚園,滋賀県大津市平野一丁目１８番２０号,5202113,2020-12-22,,256528,
A125220100163,A1(幼稚園),25(滋賀),2(公),1(本),大津市立瀬田南幼稚園,滋賀県大津市三大寺１－３,5202131,2020-12-22,,256529,
A125220100172,A1(幼稚園),25(滋賀),2(公),1(本),大津市立瀬田幼稚園,滋賀県大津市大江４ー３ー６,5202141,2020-12-22,,256530,
A125220100181,A1(幼稚園),25(滋賀),2(公),1(本),大津市立富士見幼稚園,滋賀県大津市富士見台４５－５,5200846,2020-12-22,,256532,
A125220100190,A1(幼稚園),25(滋賀),2(公),1(本),大津市立坂本幼稚園,滋賀県大津市坂本６－１－１２,5200113,2020-12-22,,256533,
A125220100207,A1(幼稚園),25(滋賀),2(公),1(本),大津市立唐崎幼稚園,滋賀県大津市際川３－３８－２,5200002,2020-12-22,,256534,
A125220100216,A1(幼稚園),25(滋賀),2(公),1(本),大津市立南郷幼稚園,滋賀県大津市南郷３丁目１５－１,5200865,2020-12-22,,256535,
A125220100225,A1(幼稚園),25(滋賀),2(公),1(本),大津市立瀬田東幼稚園,滋賀県大津市一里山二丁目２０－１,5202153,2020-12-22,,256536,
A125220100234,A1(幼稚園),25(滋賀),2(公),9(廃),大津市立比叡平幼稚園,滋賀県大津市比叡平一丁目４５－３,5200016,2020-12-22,2024-05-01,256537,A225220100019
A125220100243,A1(幼稚園),25(滋賀),2(公),1(本),大津市立瀬田北幼稚園,滋賀県大津市大将軍１－１４－１,5202145,2020-12-22,,256539,
A125220100252,A1(幼稚園),25(滋賀),2(公),9(廃),大津市立真野北幼稚園,滋賀県大津市緑町１６－２,5200221,2020-12-22,2021-05-27,257901,A125220100314
A125220100261,A1(幼稚園),25(滋賀),2(公),1(本),大津市立仰木の里幼稚園,滋賀県大津市仰木の里３－１０－１,5200246,2020-12-22,,257902,
A125220100270,A1(幼稚園),25(滋賀),2(公),1(本),大津市立青山幼稚園,滋賀県大津市青山３－１６－２,5202101,2020-12-22,,257903,
A125220100289,A1(幼稚園),25(滋賀),2(公),1(本),大津市立仰木の里東幼稚園,滋賀県大津市仰木の里東六丁目４番１号,5200248,2020-12-22,,257904,
A125220100298,A1(幼稚園),25(滋賀),2(公),1(本),大津市立志賀北幼稚園,滋賀県大津市荒川８８０,5200513,2020-12-22,,256691,
A125220100305,A1(幼稚園),25(滋賀),2(公),1(本),大津市立志賀南幼稚園,滋賀県大津市和邇今宿４８２－１,5200524,2020-12-22,,256693,
A125220100314,A1(幼稚園),25(滋賀),2(公),1(本),大津市立伊香立・真野北幼稚園,滋賀県大津市緑町１６ー２,5200221,2021-05-27,,257905,
A125220200019,A1(幼稚園),25(滋賀),2(公),1(本),彦根市立彦根幼稚園,滋賀県彦根市本町１丁目３－３３,5220064,2020-12-22,,256541,
A125220200028,A1(幼稚園),25(滋賀),2(公),1(本),彦根市立高宮幼稚園,滋賀県彦根市高宮町２３９１,5220201,2020-12-22,,256542,
A125220200037,A1(幼稚園),25(滋賀),2(公),1(本),彦根市立稲枝東幼稚園,滋賀県彦根市稲部町３１５－１,5211113,2020-12-22,,256547,
A125220200046,A1(幼稚園),25(滋賀),2(公),1(本),彦根市立旭森幼稚園,滋賀県彦根市東沼波町４９３－２,5220027,2020-12-22,,256548,
A125220200055,A1(幼稚園),25(滋賀),2(公),1(本),彦根市立城北幼稚園,滋賀県彦根市松原町３７５１－３,5220002,2020-12-22,,256549,
A125220200064,A1(幼稚園),25(滋賀),2(公),9(廃),彦根市立金城幼稚園,滋賀県彦根市大藪町２５４５,5220053,2020-12-22,2024-05-01,256550,
A125220200073,A1(幼稚園),25(滋賀),2(公),1(本),彦根市立佐和山幼稚園,滋賀県彦根市芹川町４８１－１,5220033,2020-12-22,,256545,
A125220200082,A1(幼稚園),25(滋賀),2(公),1(本),彦根市立城陽幼稚園,滋賀県彦根市日夏町１６６,5220047,2020-12-22,,256551,
A125220300018,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立長浜幼稚園,滋賀県長浜市朝日町５－１４,5260056,2020-12-22,,256571,
A125220300027,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立神照幼稚園,滋賀県長浜市新庄寺町４８０,5260013,2020-12-22,,256572,
A125220300036,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立南郷里幼稚園,滋賀県長浜市新栄町６２６,5260841,2020-12-22,,256573,
A125220300045,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立わかば幼稚園,滋賀県長浜市八幡東町５２０－１,5260031,2020-12-22,,256574,
A125220300054,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立北郷里幼稚園,滋賀県長浜市春近町１９６－１,5260842,2020-12-22,,256575,
A125220300063,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立長浜南認定こども園,滋賀県長浜市加田町２７２７,5260828,2020-12-22,,256577,
A125220300072,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立長浜北幼稚園,滋賀県長浜市三ツ矢元町１９－２４,5260024,2020-12-22,,256579,
A125220300081,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立長浜西幼稚園,滋賀県長浜市相撲町６０４－６,5260017,2020-12-22,,256580,
A125220300090,A1(幼稚園),25(滋賀),2(公),1(本),長浜市立湖北幼稚園,滋賀県長浜市湖北町速水９０９－２,5290341,2020-12-22,,257663,
A125220400017,A1(幼稚園),25(滋賀),2(公),1(本),近江八幡市立八幡幼稚園,滋賀県近江八幡市出町４８７,5230892,2020-12-22,,256601,
A125220400026,A1(幼稚園),25(滋賀),2(公),1(本),近江八幡市立金田幼稚園,滋賀県近江八幡市金剛寺町３９０,5230001,2020-12-22,,256604,
A125220400035,A1(幼稚園),25(滋賀),2(公),9(廃),近江八幡市立桐原幼稚園,滋賀県近江八幡市中小森町１１９１,5230041,2020-12-22,2021-05-27,256605,
A125220400044,A1(幼稚園),25(滋賀),2(公),1(本),近江八幡市立馬淵こども園,滋賀県近江八幡市馬淵町１５３３,5230022,2020-12-22,,256606,
A125220400053,A1(幼稚園),25(滋賀),2(公),1(本),近江八幡市立北里幼稚園,滋賀県近江八幡市江頭町９７０,5230061,2020-12-22,,256607,
A125220400062,A1(幼稚園),25(滋賀),2(公),1(本),近江八幡市立沖島幼稚園,滋賀県近江八幡市沖島町３６０,5230801,2020-12-22,,256609,
A125220400071,A1(幼稚園),25(滋賀),2(公),1(本),近江八幡市立安土幼稚園,滋賀県近江八幡市安土町下豊浦５３００,5211311,2020-12-22,,257051,
A125220600015,A1(幼稚園),25(滋賀),2(公),1(本),草津市立志津こども園,滋賀県草津市青地町８４５番地,5250041,2020-12-22,,256661,
A125220600024,A1(幼稚園),25(滋賀),2(公),1(本),草津市立山田こども園,滋賀県草津市南山田町６７２－２,5250063,2020-12-22,,256662,
A125220600033,A1(幼稚園),25(滋賀),2(公),1(本),草津市立笠縫こども園,滋賀県草津市上笠１－６－１,5250028,2020-12-22,,256663,
A125220600042,A1(幼稚園),25(滋賀),2(公),1(本),草津市立常盤こども園,滋賀県草津市志那中町２７８,5250006,2020-12-22,,256664,
A125220600051,A1(幼稚園),25(滋賀),2(公),1(本),草津市立老上こども園,滋賀県草津市矢橋町４,5250066,2020-12-22,,256666,
A125220600060,A1(幼稚園),25(滋賀),2(公),1(本),草津市立玉川こども園,滋賀県草津市野路九丁目６－６３,5250059,2020-12-22,,256668,
A125220600079,A1(幼稚園),25(滋賀),2(公),1(本),草津市立矢倉こども園,滋賀県草津市矢倉２－５－２１,5250053,2020-12-22,,256671,
A125220600088,A1(幼稚園),25(滋賀),2(公),1(本),草津市立笠縫東こども園,滋賀県草津市平井３－８－２,5250023,2020-12-22,,256669,
A125220700014,A1(幼稚園),25(滋賀),2(公),1(本),守山市立認定こども園守山幼稚園,滋賀県守山市勝部一丁目１３－１,5240041,2020-12-22,,256751,
A125220700023,A1(幼稚園),25(滋賀),2(公),1(本),守山市立河西幼稚園,滋賀県守山市今市町２５－１,5240011,2020-12-22,,256754,
A125220700032,A1(幼稚園),25(滋賀),2(公),1(本),守山市立速野幼稚園,滋賀県守山市水保町２３９９－１,5240102,2020-12-22,,256755,
A125220700041,A1(幼稚園),25(滋賀),2(公),1(本),守山市立吉身幼稚園,滋賀県守山市吉身三丁目２番５１号,5240021,2020-12-22,,256757,
A125220700050,A1(幼稚園),25(滋賀),2(公),1(本),守山市立物部幼稚園,滋賀県守山市二町町２５３,5240043,2020-12-22,,256758,
A125220700069,A1(幼稚園),25(滋賀),2(公),1(本),守山市立立入が丘幼稚園,滋賀県守山市立入町２２６－１,5240031,2020-12-22,,256759,
A125220800013,A1(幼稚園),25(滋賀),2(公),9(廃),栗東市立治田東幼稚園,滋賀県栗東市安養寺６丁目７－２９,5203015,2020-12-22,2025-05-01,256720,
A125220800022,A1(幼稚園),25(滋賀),2(公),1(本),栗東市立大宝こども園,滋賀県栗東市綣８－１６－９,5203031,2020-12-22,,256721,
A125220800031,A1(幼稚園),25(滋賀),2(公),9(廃),栗東市立葉山幼稚園,滋賀県栗東市高野２８９,5203045,2020-12-22,2026-05-01,256722,
A125220800040,A1(幼稚園),25(滋賀),2(公),9(廃),栗東市立金勝幼稚園,滋賀県栗東市御園１００９番地の１,5203005,2020-12-22,2024-05-01,256723,A225220800012
A125220800059,A1(幼稚園),25(滋賀),2(公),1(本),栗東市立治田幼稚園,滋賀県栗東市目川８７１番地２,5203013,2020-12-22,,256724,
A125220800068,A1(幼稚園),25(滋賀),2(公),9(廃),栗東市立治田西幼稚園,滋賀県栗東市中沢１丁目６番３号,5203025,2020-12-22,2026-05-01,256725,
A125220800077,A1(幼稚園),25(滋賀),2(公),9(廃),栗東市立葉山東幼稚園,滋賀県栗東市小野４６５－１,5203016,2020-12-22,2026-05-01,256726,
A125220800086,A1(幼稚園),25(滋賀),2(公),1(本),栗東市立大宝西幼稚園,滋賀県栗東市霊仙寺５－６－１９,5203035,2020-12-22,,256727,
A125220800095,A1(幼稚園),25(滋賀),2(公),9(廃),栗東市立大宝幼稚園分園,滋賀県栗東市綣三丁目３番６号,5203031,2020-12-22,2023-05-01,256728,A125220800022
A125220900012,A1(幼稚園),25(滋賀),2(公),9(廃),甲賀市立伴谷幼稚園,滋賀県甲賀市水口町伴中山３７４３,5280064,2020-12-22,2023-05-01,256882,A225320900037
A125220900021,A1(幼稚園),25(滋賀),2(公),9(廃),甲賀市立土山幼稚園,滋賀県甲賀市土山町南土山甲４１７,5280212,2020-12-22,2024-05-01,256891,A225220900011
A125220900030,A1(幼稚園),25(滋賀),2(公),9(廃),甲賀市立大原幼稚園,滋賀県甲賀市甲賀町大久保９５２番地,5203414,2020-12-22,2024-05-01,256961,A225220900020
A125220900049,A1(幼稚園),25(滋賀),2(公),9(廃),甲賀市立油日幼稚園,滋賀県甲賀市甲賀町上野１３２０,5203421,2020-12-22,2024-05-01,256962,A225220900039
A125220900058,A1(幼稚園),25(滋賀),2(公),9(廃),甲賀市立信楽幼稚園,滋賀県甲賀市信楽町江田９６９,5291811,2020-12-22,2024-05-01,256901,A225220900048
A125221000019,A1(幼稚園),25(滋賀),2(公),1(本),野洲市立中主幼稚園,滋賀県野洲市吉地１１２０－１,5202413,2020-12-22,,256781,
A125221000028,A1(幼稚園),25(滋賀),2(公),1(本),野洲市立野洲幼稚園,滋賀県野洲市小篠原２１４２－２５,5202331,2020-12-22,,256791,
A125221000037,A1(幼稚園),25(滋賀),2(公),9(廃),野洲市立篠原幼稚園,滋賀県野洲市大篠原１４１４－２,5202313,2020-12-22,2024-05-01,256792,A225221000018
A125221000046,A1(幼稚園),25(滋賀),2(公),9(廃),野洲市立三上幼稚園,滋賀県野洲市三上１３４,5202323,2020-12-22,2024-05-01,256793,A225221000027
A125221000055,A1(幼稚園),25(滋賀),2(公),1(本),野洲市立祇王幼稚園,滋賀県野洲市永原４７４,5202304,2020-12-22,,256794,
A125221000064,A1(幼稚園),25(滋賀),2(公),1(本),野洲市立北野幼稚園,滋賀県野洲市市三宅２４８,5202362,2020-12-22,,256795,
A125221000073,A1(幼稚園),25(滋賀),2(公),9(廃),野洲市立さくらばさま幼稚園,滋賀県野洲市小篠原２００,5202331,2020-12-22,2024-05-01,256796,A225221000036
A125221000082,A1(幼稚園),25(滋賀),2(公),9(廃),野洲市立ゆきはた幼稚園,滋賀県野洲市行畑一丁目２番２５号,5202341,2020-12-22,2024-05-01,256797,A225221000045
A125221200017,A1(幼稚園),25(滋賀),2(公),9(廃),高島市立なのはな幼稚園,滋賀県高島市新旭町藁園２３０５,5201511,2020-12-22,2021-05-27,257861,
A125221200026,A1(幼稚園),25(滋賀),2(公),9(廃),高島市立さくら幼稚園,滋賀県高島市新旭町饗庭５１３８,5201531,2020-12-22,2021-05-27,257862,
A125221300016,A1(幼稚園),25(滋賀),2(公),1(本),東近江市立八日市幼稚園,滋賀県東近江市八日市町５－４,5270029,2020-12-22,,256631,
A125221300025,A1(幼稚園),25(滋賀),2(公),1(本),東近江市立建部幼稚園,滋賀県東近江市建部日吉町５,5270006,2020-12-22,,256634,
A125221300034,A1(幼稚園),25(滋賀),2(公),1(本),東近江市立玉緒幼稚園,滋賀県東近江市大森町１０１２－３,5270063,2020-12-22,,256638,
A125221300043,A1(幼稚園),25(滋賀),2(公),1(本),東近江市立長峰幼稚園,滋賀県東近江市蒲生堂町３３５,5291541,2020-12-22,,257082,
A125221300052,A1(幼稚園),25(滋賀),2(公),1(本),東近江市立愛東あいあい幼稚園,滋賀県東近江市妹町２９－４,5270162,2020-12-22,,257313,
A125221400015,A1(幼稚園),25(滋賀),2(公),9(廃),米原市立山東幼稚園,滋賀県米原市池下９１,5210221,2020-12-22,2025-05-01,257515,
A125238300010,A1(幼稚園),25(滋賀),2(公),1(本),日野町立日野幼稚園,滋賀県蒲生郡日野町大窪３３１番地,5291603,2020-12-22,,257111,
A125238300029,A1(幼稚園),25(滋賀),2(公),1(本),日野町立西大路幼稚園,滋賀県蒲生郡日野町西大路４７－１,5291628,2020-12-22,,257112,
A125238300038,A1(幼稚園),25(滋賀),2(公),1(本),日野町立南比都佐幼稚園,滋賀県蒲生郡日野町深山口４３１,5291634,2020-12-22,,257114,
A125238300047,A1(幼稚園),25(滋賀),2(公),1(本),日野町立必佐幼稚園,滋賀県蒲生郡日野町内池６０６,5291644,2020-12-22,,257115,
A125238400019,A1(幼稚園),25(滋賀),2(公),9(廃),竜王町立竜王幼稚園,滋賀県蒲生郡竜王町綾戸２５０,5202524,2020-12-22,2022-05-01,257143,A125238400037
A125238400028,A1(幼稚園),25(滋賀),2(公),9(廃),竜王町立竜王西幼稚園,滋賀県蒲生郡竜王町山面１－１,5202564,2020-12-22,2022-05-01,257144,A125238400037
A125238400037,A1(幼稚園),25(滋賀),2(公),1(本),竜王町立竜王こども園,滋賀県蒲生郡竜王町綾戸２５０番地,5202524,2022-05-01,,,
A125242500010,A1(幼稚園),25(滋賀),2(公),1(本),愛荘町立秦荘幼稚園,滋賀県愛知郡愛荘町安孫子１２１０－１,5291234,2020-12-22,,257333,
A125242500029,A1(幼稚園),25(滋賀),2(公),1(本),愛荘町立愛知川幼稚園,滋賀県愛知郡愛荘町市１７３６番地,5291313,2020-12-22,,257352,
A125244100010,A1(幼稚園),25(滋賀),2(公),1(本),豊郷町立豊郷幼稚園,滋賀県犬上郡豊郷町石畑５４５,5291169,2020-12-22,,257431,
A125244200019,A1(幼稚園),25(滋賀),2(公),9(廃),甲良町立甲良東幼稚園,滋賀県犬上郡甲良町横関３２番地,5220262,2020-12-22,2023-05-01,257441,A225244200018
A125244200028,A1(幼稚園),25(滋賀),2(公),9(廃),甲良町立甲良西幼稚園,滋賀県犬上郡甲良町呉竹５３番地,5220241,2020-12-22,2023-05-01,257442,A225244200027
A125244300018,A1(幼稚園),25(滋賀),2(公),9(廃),多賀町立多賀幼稚園,滋賀県犬上郡多賀町久徳３４８番地,5220352,2020-12-22,2024-05-01,257481,A225244300026
A125320100018,A1(幼稚園),25(滋賀),3(私),1(本),認定こども園聖愛幼稚園,滋賀県大津市中庄１－２－１,5200837,2020-12-22,,258002,
A125320100027,A1(幼稚園),25(滋賀),3(私),1(本),愛光幼稚園,滋賀県大津市末広町６番６号,5200056,2020-12-22,,258003,
A125320100036,A1(幼稚園),25(滋賀),3(私),1(本),比叡山幼稚園,滋賀県大津市坂本４－８－３１,5200113,2020-12-22,,258005,
A125320100045,A1(幼稚園),25(滋賀),3(私),1(本),清和幼稚園,滋賀県大津市栄町１８－５,5200855,2020-12-22,,258007,
A125320100054,A1(幼稚園),25(滋賀),3(私),1(本),光泉カトリック幼稚園,滋賀県草津市野路町１７８,5258566,2020-12-22,,258009,
A125320100063,A1(幼稚園),25(滋賀),3(私),1(本),滋賀短期大学附属幼稚園,滋賀県大津市竜が丘２４番地３号,5200803,2020-12-22,,258102,
A125320100072,A1(幼稚園),25(滋賀),3(私),9(廃),認定こども園聖母幼稚園,滋賀県大津市馬場２－６－６２,5200802,2020-12-22,2025-05-01,258008,
A125320200017,A1(幼稚園),25(滋賀),3(私),1(本),みどり幼稚園,滋賀県彦根市川瀬馬場町９６２番地の２,5220223,2020-12-22,,258032,
A125320200026,A1(幼稚園),25(滋賀),3(私),9(廃),学校法人滋賀カトリック学園認定こども園聖ヨゼフ幼稚園,滋賀県彦根市立花町２－２４,5220062,2020-12-22,2021-05-27,258031,A225320200016
A125320600013,A1(幼稚園),25(滋賀),3(私),1(本),認定こども園草津カトリック幼稚園,滋賀県草津市草津１－９－２１,5250034,2020-12-22,,258091,
A125320600022,A1(幼稚園),25(滋賀),3(私),1(本),信愛幼稚園,滋賀県草津市大路１丁目１７－１１,5250032,2020-12-22,,258092,
A125320600031,A1(幼稚園),25(滋賀),3(私),1(本),草津幼稚園,滋賀県草津市草津２丁目１３－２４,5250034,2020-12-22,,258093,
A125320600040,A1(幼稚園),25(滋賀),3(私),1(本),若竹幼稚園,滋賀県草津市若竹町１－８,5250031,2020-12-22,,258094,
A125320900010,A1(幼稚園),25(滋賀),3(私),1(本),認定こども園水口幼稚園,滋賀県甲賀市水口町城東３－２１,5280028,2020-12-22,,258121,
A125320900029,A1(幼稚園),25(滋賀),3(私),9(廃),甲南幼稚園,滋賀県甲賀市甲南町野田６０４番地,5203308,2020-12-22,2024-05-01,258141,A225320900055
A125321100016,A1(幼稚園),25(滋賀),3(私),1(本),三雲幼稚園,滋賀県湖南市夏見２０２５－１,5203223,2020-12-22,,258112,
A125321100025,A1(幼稚園),25(滋賀),3(私),1(本),幼稚園型認定こども園ひかり幼稚園,滋賀県湖南市菩提寺３２８番地２７８,5203242,2020-12-22,,258113,
A125321100034,A1(幼稚園),25(滋賀),3(私),9(廃),京進のようちえんＨＯＰＰＡ石部,滋賀県湖南市宮の森一丁目１番１号,5203102,2020-12-22,2022-05-01,256841,
A125321100043,A1(幼稚園),25(滋賀),3(私),9(廃),京進のようちえんＨＯＰＰＡ石部南,滋賀県湖南市丸山１－１－２,5203112,2020-12-22,2024-05-01,256842,A225321100051
A125321200015,A1(幼稚園),25(滋賀),3(私),1(本),今津幼稚園,滋賀県高島市今津町今津１６５０番地１,5201621,2020-12-22,,258181,
A125321200024,A1(幼稚園),25(滋賀),3(私),1(本),本庄幼稚園,滋賀県高島市安曇川町南船木２８６,5201233,2020-12-22,,258213,
A225220100019,A2(こども),25(滋賀),2(公),1(本),大津市立比叡平こども園,滋賀県大津市比叡平一丁目４５－３,5200016,2024-05-01,,,
A225220200018,A2(こども),25(滋賀),2(公),1(本),彦根市立平田こども園,滋賀県彦根市平田町３０３－１,5220041,2020-12-22,,25A021,
A225220300017,A2(こども),25(滋賀),2(公),1(本),長浜市立六荘認定こども園,滋賀県長浜市勝町４９１,5260042,2020-12-22,,25A031,
A225220300026,A2(こども),25(滋賀),2(公),1(本),長浜市立あざい認定こども園,滋賀県長浜市大依町１２３２,5260251,2020-12-22,,25A032,
A225220300035,A2(こども),25(滋賀),2(公),1(本),長浜市立びわ認定こども園,滋賀県長浜市八木浜町２６－１,5260116,2020-12-22,,25A034,
A225220300044,A2(こども),25(滋賀),2(公),1(本),長浜市立とらひめ認定こども園,滋賀県長浜市五村３７１－１,5290141,2020-12-22,,25A033,
A225220300053,A2(こども),25(滋賀),2(公),1(本),長浜市立たかつき認定こども園,滋賀県長浜市高月町東柳野１５－１,5290263,2020-12-22,,25A035,
A225220300062,A2(こども),25(滋賀),2(公),1(本),長浜市立きのもと認定こども園,滋賀県長浜市木之本町木之本６９８－２,5290425,2020-12-22,,25A036,
A225220300071,A2(こども),25(滋賀),2(公),1(本),長浜市立よご認定こども園,滋賀県長浜市余呉町東野３６３,5290527,2020-12-22,,25A037,
A225220300080,A2(こども),25(滋賀),2(公),1(本),長浜市立にしあざい認定こども園,滋賀県長浜市西浅井町塩津中２０６６,5290704,2020-12-22,,25A038,
A225220400016,A2(こども),25(滋賀),2(公),1(本),近江八幡市立武佐こども園,滋賀県近江八幡市西生来町１１９３番地,5230004,2020-12-22,,25A041,
A225220400025,A2(こども),25(滋賀),2(公),1(本),近江八幡市立老蘇こども園,滋賀県近江八幡市安土町東老蘇１３００,5211332,2020-12-22,,25A043,
A225220600014,A2(こども),25(滋賀),2(公),1(本),草津市立矢橋ふたばこども園,滋賀県草津市矢橋町８８８－１,5250066,2020-12-22,,25A061,
A225220600023,A2(こども),25(滋賀),2(公),1(本),草津市立草津中央おひさまこども園,滋賀県草津市草津三丁目１３ー１０,5250034,2020-12-22,,25A062,
A225220700013,A2(こども),25(滋賀),2(公),1(本),守山市立小津こども園,滋賀県守山市欲賀町８７９番地,5240063,2020-12-22,,25A071,
A225220700022,A2(こども),25(滋賀),2(公),1(本),守山市立玉津こども園,滋賀県守山市赤野井町３９－３,5240061,2020-12-22,,25A072,
A225220700031,A2(こども),25(滋賀),2(公),1(本),守山市立中洲こども園,滋賀県守山市幸津川町１４０６,5240215,2020-12-22,,25A073,
A225220800012,A2(こども),25(滋賀),2(公),1(本),栗東市立金勝こども園,滋賀県栗東市御園１００９番の１,5203005,2024-05-01,,,
A225220800021,A2(こども),25(滋賀),2(公),1(本),栗東市立治田東こども園,滋賀県栗東市安養寺６丁目７番１２号,5203015,2025-05-01,,,
A225220800030,A2(こども),25(滋賀),2(公),1(本),治田西こども園,滋賀県栗東市中沢一丁目４番２２号,5203025,2026-05-01,,,
A225220800049,A2(こども),25(滋賀),2(公),1(本),葉山東こども園,滋賀県栗東市小野４６５番地１,5203016,2026-05-01,,,
A225220800058,A2(こども),25(滋賀),2(公),1(本),葉山こども園,滋賀県栗東市高野２８９番地,5203045,2026-05-01,,,
A225220900011,A2(こども),25(滋賀),2(公),1(本),甲賀市立土山こども園,滋賀県甲賀市土山町南土山甲４１７番地,5280212,2024-05-01,,,
A225220900020,A2(こども),25(滋賀),2(公),1(本),甲賀市立大原こども園,滋賀県甲賀市甲賀町大久保９５２番地,5203414,2024-05-01,,,
A225220900039,A2(こども),25(滋賀),2(公),1(本),甲賀市立油日こども園,滋賀県甲賀市甲賀町上野１３２０番地,5203421,2024-05-01,,,
A225220900048,A2(こども),25(滋賀),2(公),1(本),甲賀市立信楽こども園,滋賀県甲賀市信楽町江田９６９番地,5291811,2024-05-01,,,
A225221000018,A2(こども),25(滋賀),2(公),1(本),野洲市立篠原こども園,滋賀県野洲市大篠原１４１４－２,5202313,2024-05-01,,,
A225221000027,A2(こども),25(滋賀),2(公),1(本),野洲市立三上こども園,滋賀県野洲市三上１３４,5202323,2024-05-01,,,
A225221000036,A2(こども),25(滋賀),2(公),1(本),野洲市立さくらばさまこども園,滋賀県野洲市小篠原２００,5202331,2024-05-01,,,
A225221000045,A2(こども),25(滋賀),2(公),1(本),野洲市立ゆきはたこども園,滋賀県野洲市行畑一丁目２番２５号,5202341,2024-05-01,,,
A225221100017,A2(こども),25(滋賀),2(公),1(本),湖南市立平松こども園,滋賀県湖南市平松２６８,5203232,2020-12-22,,25A111,
A225221100026,A2(こども),25(滋賀),2(公),1(本),湖南市立下田こども園,滋賀県湖南市下田２２２４,5203201,2020-12-22,,25A113,
A225221100035,A2(こども),25(滋賀),2(公),1(本),湖南市立岩根こども園,滋賀県湖南市岩根２２２５番地,5203252,2022-05-01,,,
A225221300015,A2(こども),25(滋賀),2(公),1(本),東近江市立わかば幼児園,滋賀県東近江市野村町１９３４番地,5270047,2020-12-22,,25A131,
A225221300024,A2(こども),25(滋賀),2(公),1(本),東近江市立ひまわり幼児園,滋賀県東近江市沖野三丁目７番３３号,5270034,2020-12-22,,25A132,
