id,original_name,current_name,before_category,after_category,status,reason,evidence_url,point_distance_m,next_check
osm-node-10253616807,クスリ岩崎チェーン 西宇部店,クスリ岩崎チェーン 西宇部店,pharmacy,drugstore,corrected,公式店舗案内で西宇部店の小売店舗としての営業案内を確認し、ドラッグストアへ修正しました。公式地図の代表点とも近接します。調剤窓口・入口の位置を確認した記録ではありません。,https://www.matsukiyococokara-online.com/map/?kid=20002894,10.7,
osm-node-12376670726,おかもと内閣,おかもと内閣,clinic,clinic,pending,公式の現在名は「おかもと腎クリニック」、所在地は周南市二番町です。原本の「おかもと内閣」は誤記候補ですが、旧位置との移転前後の対応が未確定のため、名称・位置を変更していません。,https://okamoto-kidney.com/,,移転前医院の正式住所と原本位置を照合する。
osm-node-12487748792,コスモス東岐波店,コスモス東岐波店,supermarket,drugstore,corrected,コスモス東岐波店の公式案内で医薬品・化粧品・日用品・食品の取扱いを確認し、スーパーからドラッグストアへ修正しました。公式店舗の住所・代表点を照合しましたが、入口位置は未確認です。,https://www.cosmospc.co.jp/shop/chugoku/yamaguchi/95020.html,47.4,
osm-node-12919501779,ローソン,ローソン,supermarket,supermarket,pending,下関元町店が照合候補です。県の店舗一覧には元町1-20のローソンが掲載されていますが、支店名のない原本位置と公式店舗地図の対応を確定できていません。スーパー分類を暫定維持しています。,https://www.pref.yamaguchi.lg.jp/uploaded/attachment/225611.pdf,,ローソン公式店舗検索で原本位置に対応する支店・店舗種別を確認する。
osm-node-12919548570,ローソン,ローソン,supermarket,convenience,corrected,ローソン公式の下関新地町店の住所・地図代表点と照合し、スーパーからコンビニへ修正しました。原本の名称・位置は維持し、入口位置は未確認です。,https://crew.lawson.co.jp/jobfind-pc/job/All/146082/map,9.9,
osm-node-1423654564,周防大島町立橘病院,周防大島町立橘医院,clinic,clinic,corrected,町の公式再編計画で、橘病院は2020年に診療所「橘医院」となり、2024年に無床化したことを確認しました。診療所分類を維持し、名称を「周防大島町立橘医院」へ修正しました。入口位置は未確認です。,https://www.town.suo-oshima.lg.jp/uploaded/attachment/20072.pdf,,
osm-node-2253200282,クスリ岩崎チェーン,クスリ岩崎チェーン,pharmacy,drugstore,corrected,公式の湯田温泉駅前店の所在地・地図代表点と原本位置を照合し、ドラッグストアへ修正しました。支店名のない原本名称は維持しています。入口位置・調剤窓口は未確認です。,https://www.matsukiyococokara-online.com/map/?kid=20002875,4.6,
osm-node-3798156478,いちやSC,いちやSC,supermarket,supermarket,pending,いちやショッピングセンターの旧施設情報は見つかりましたが、現在の営業主体・業態を確認できる公式施設案内が得られていません。館全体と食品店の範囲も未確定のため、名称・分類を保留しています。,https://www.city.shunan.lg.jp/uploaded/attachment/21980.pdf,,現管理者の案内・現況資料で閉店の有無と施設範囲を確認する。
osm-node-3951221858,イオン柳井新庄SC,イオン柳井新庄SC,supermarket,supermarket,pending,テナントの公式案内にイオン柳井新庄SC内という所在地があります。商業施設の存在は確認できますが、原本の点が館全体とマックスバリュのどちらを表すか未確定のため、分類を保留しています。,https://will-sprice.com/shop/,,館の配置図と元の点の対象範囲を照合する。
osm-node-4021864894,イオン下松山田SC,イオン下松山田SC,supermarket,supermarket,pending,フジの公式変更計画でイオン下松山田ショッピングセンターと山田156-1の所在地を確認しました。複数店舗を含む施設のため、原本の点が食品店か館全体かを確定せず、分類を保留しています。,https://www.the-fuji.com/company/docs/20250307_release.pdf,,公式配置図と原本の点の対象範囲を照合する。
osm-node-4355096689,Best,Best,supermarket,supermarket,pending,光市浅江のベスト電器が名称の照合候補ですが、現行の公式店舗案内でこの原本位置・名称との対応を確認できませんでした。「Best」だけで家電店と断定せず、分類を保留しています。,https://www.ekiten.jp/shop_2366931/,,旧店舗の公式所在地・改称閉店資料と原本位置を照合する。
osm-node-4466387201,コスモス,コスモス,pharmacy,drugstore,corrected,コスモス光店の公式住所・地図代表点と照合し、ドラッグストアへ修正しました。公式店舗データの調剤取扱いはなしで、医薬品・化粧品・日用品・食品の小売店舗です。入口位置は未確認です。,https://www.cosmospc.co.jp/shop/chugoku/yamaguchi/92357.html,9.8,
osm-node-5463868168,ディスカウントドラッグ コスモス,ディスカウントドラッグ コスモス,mall,drugstore,corrected,コスモス深川店の公式住所・地図代表点と照合し、商業施設からドラッグストアへ修正しました。公式店舗データの医薬品・化粧品・日用品・食品の取扱いを確認しました。入口位置は未確認です。,https://www.cosmospc.co.jp/shop/chugoku/yamaguchi/93385.html,10.0,
osm-node-5712889433,クスリ岩崎チェーン,クスリ岩崎チェーン,pharmacy,pharmacy,pending,公式イオン長府店と支店名・地図代表点は対応します。ただし原本には調剤ありの記載があり、公式ページの調剤受付欄は空欄です。店舗と調剤窓口の対象範囲を確定せず、薬局分類を保留しています。,https://www.matsukiyococokara-online.com/map/?kid=20002862,22.6,調剤窓口の有無・旧営業情報と対象OSM要素の範囲を確認する。
osm-node-6011703186,ウォンツ徳佐店,ウォンツ徳佐店,supermarket,drugstore,corrected,ウォンツ徳佐店の公式住所・地図代表点と医薬品・食品・化粧品・日用品の取扱いを確認し、スーパーからドラッグストアへ修正しました。入口位置は未確認です。,https://shop.tsuruha-g.com/3774,5.8,
osm-node-7925514879,セブンイレブン　美祢十文字店,セブンイレブン　美祢十文字店,supermarket,convenience,corrected,セブン-イレブン公式の美祢十文字店の住所（美東町真名3162番2）と店舗案内を原本の町名・番地と照合し、スーパーからコンビニへ修正しました。入口位置は未確認です。,https://ptj.sej.co.jp/arbeit/recruitment/jobfind-pc/job/All/593978/,,
osm-node-8324024714,徳山病院,徳山病院,clinic,hospital,corrected,徳山病院の公式案内で運営法人、南浦山町5番14号の所在地、一般病床78床を確認しました。原本の法人・住所と一致するため、診療所から病院へ修正しました。入口位置は未確認です。,https://tokuyama-hp.jp/about/,,
osm-way-1069977638,山口銀行 丸久川西店,山口銀行 丸久川西店,supermarket,supermarket,pending,丸久の公式店案内と山口銀行の公式ATM案内が同じ川西2丁目7-16を示します。建物を表す原本名称にATM名が混在しており、スーパー建物かATM設備かの範囲を確定せず保留しています。,https://www.yamaguchibank.co.jp/outline/store/iwakuni.html,,建物形状または配置図でスーパー建物とATM設備の範囲を確認する。
osm-way-1120637425,ドラッグストアモリ 宇部沖ノ旦店,ドラッグストアモリ 宇部沖ノ旦店,pharmacy,drugstore,corrected,ドラッグストアモリ宇部沖ノ旦店の公式案内で店舗名、沖ノ旦837番2の所在地、医薬品・化粧品・雑貨・食品の取扱いを確認し、ドラッグストアへ修正しました。入口位置・建物範囲は未確認です。,https://www.doramori.co.jp/store/1693.html/,,
osm-way-1121040363,ウォンツ 宇部厚南店,ウォンツ 宇部厚南店,pharmacy,reference,out_of_scope,ウォンツ公式が宇部厚南店の移転による閉店を2025年4月11日付で案内しています。旧位置を現店舗として表示しないよう参考記録に変更しました。ID・名称・位置は維持し、移転先へは置き換えていません。,https://www.wants.co.jp/news/close_3666/,,
osm-way-202664935,ドラッグセガミ,ドラッグセガミ,pharmacy,pharmacy,pending,山口湯田店の閉店情報が照合候補として見つかりましたが、支店名のない原本と公式の旧店舗・閉店資料との対応を確定できませんでした。店舗名や分類を推測で変更せず保留しています。,https://kaiten-heiten.com/drug-segami-yamaguchiyuta/,,ドラッグセガミ山口湯田店の公式旧住所・閉店情報と原本位置を照合する。
osm-way-297142744,イオンモール,イオン防府店,mall,mall,corrected,原本の住所・電話番号・公式URLと、イオン公式の「イオン防府店」および館内専門店案内が一致します。名称を「イオン防府店」に修正し、商業施設分類を維持しました。建物範囲・入口位置は未確認です。,https://www.aeon.com/store/イオン/イオン防府店/shop_info/specialty_store/,,
osm-way-305489114,ABC Mart,ABC Mart,mall,mall,pending,サンリブ公式で下松店と所在地を確認しましたが、原本にはサンリブとABC Martの名称が混在します。保存原本だけでは建物とテナントの範囲を特定できず、名称・分類・両IDを維持しています。,https://www.sunlive.co.jp/shop/サンリブ下松/,,ABC-MARTの区画・階と元建物形状を照合する。
osm-way-353411446,ウォンツ 宇部新川店,ウォンツ 宇部新川店,pharmacy,drugstore,corrected,ウォンツ宇部新川店の公式住所・地図代表点と医薬品・食品・化粧品・日用品の取扱いを確認し、ドラッグストアへ修正しました。入口位置・建物範囲は未確認です。,https://shop.tsuruha-g.com/3663,5.1,
osm-way-405833069,コスモス,コスモス,supermarket,drugstore,corrected,コスモス大内店の公式住所・地図代表点と照合しました。公式店舗データで医薬品・化粧品・日用品・食品の取扱いと調剤なしを確認し、競合する原本タグのスーパー分類をドラッグストアへ修正しました。入口位置・建物範囲は未確認です。,https://www.cosmospc.co.jp/shop/chugoku/yamaguchi/91404.html,4.7,
osm-way-405983078,ウォンツ 山口熊野店,ウォンツ 山口熊野店,pharmacy,drugstore,corrected,ウォンツ山口熊野店の公式住所・電話番号が原本と一致し、公式地図代表点と取扱商品も照合しました。ドラッグストアへ修正しました。入口位置・建物範囲は未確認です。,https://shop.tsuruha-g.com/3938,5.6,
osm-way-425596518,クスリ岩崎チェーン　山口北店,クスリ岩崎チェーン　山口北店,pharmacy,drugstore,corrected,クスリ岩崎チェーン山口北店の公式店舗名・所在地・地図代表点と照合し、ドラッグストアへ修正しました。入口位置・建物範囲・調剤窓口は未確認です。,https://www.matsukiyococokara-online.com/map/?kid=20002846,1.8,
osm-way-425751686,クスリ岩崎チェーン田布施店,クスリ岩崎チェーン田布施店,pharmacy,drugstore,corrected,クスリ岩崎チェーン田布施店の公式店舗名・所在地・地図代表点と照合し、ドラッグストアへ修正しました。入口位置・建物範囲・調剤窓口は未確認です。,https://www.matsukiyococokara-online.com/map/?kid=20002842,4.5,
osm-way-465881161,ウォンツ山口大内御堀店,ウォンツ山口大内御堀店,pharmacy,reference,out_of_scope,ウォンツ公式が山口大内店の閉店を2025年12月31日付で案内しています。大内御堀の店舗資料と照合し、旧位置を現店舗として表示しないよう参考記録に変更しました。ID・名称・位置は維持しています。,https://www.wants.co.jp/news/close_3695/,,
