都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,01B0100011,北海道,札幌市中央区,札幌西円山病院介護医療院,サッポロニシマルヤマビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市中央区円山西町4丁目7-25,,43.039961900000010,141.303213600000000,011-642-4121,011-642-4291,4430005001450,医療法人渓仁会,01B0100011,,,0,http://www.keijinkai.com/nishimaruyama/,,,,
011029,01B0200027,北海道,札幌市北区,長生会病院　介護医療院,チョウセイカイビョウイン　カイゴイリョウイン,介護医療院,北25条西16丁目2番1号,,43.091306000000000,141.324206700000000,011-726-4835,011-726-4279,,,01B0200027,,,46,http://choseikai.com,,,,
011037,01B0200019,北海道,札幌市東区,医療法人社団　英仁会　札苗病院　介護医療院,イリョウホウジンシャダン　エイジンカイ　サツナエビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市東区東苗穂7条2丁目8番20号,,43.094958490977500,141.412749199999980,011-783-3311,011-783-3343,4430005001632,医療法人社団英仁会,01B0200019,,,,http://www.satsunae-hp.jp/,,,,
011053,01B0500046,北海道,札幌市豊平区,医療法人社団敬穏会介護医療院小坂病院,イリョウホウジンシャダンケイオンカイカイゴイリョウインコサカビョウイン,介護医療院,福住二条２丁目9番1号,,43.017057100000000,141.402006700000000,011-854-3161,011-854-3811,7430005001456,医療法人社団敬穏会,01B0500046,,,0,https://www.kosakabyoin.com,,,,
011061,01B0500020,北海道,札幌市南区,介護医療院　フローレンス,カイゴイリョウイン　フローレンス,介護医療院,北海道札幌市南区川沿13条2丁目1-38,,42.979599100000000,141.333794500000000,011-571-5670,011-572-8005,4430005001434,医療法人愛全会,01B0500020,,,,http://www.aizenkai.or.jp/,,,,
011070,01B0400015,北海道,札幌市西区,平和リハビリテーション病院　介護医療院,ヘイワリハビリテーションビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市西区平和306番地1,,43.056153990047870,141.242742909648170,011-662-1771,011-662-1779,7430005001811,医療法人社団静和会,01B0400015,,,40,http://www.seiwa-kai.or.jp/heiwa-reha,,,,
011070,01B0400049,北海道,札幌市西区,介護医療院　博友会,カイゴイリョウイン　ハクユウカイ,介護医療院,西野2条7丁目1番1号,,43.080461000000000,141.276614400000000,011-661-1850,011-666-7933,9430005001504,医療法人タナカメディカル,01B0400049,,,0,https://tanakamedical.net,,,,
011070,01B0400031,北海道,札幌市西区,介護医療院札幌太田病院,カイゴイリョウインサッポロオオタビョウイン,介護医療院,山の手５条５丁目１番１号,,43.070760600000000,141.292039800000000,011-644-5111,011-644-5144,2430005001452,医療法人耕仁会,01B0400031,,,32,https://www.sapporo-ohta.or.jp/,,,,
011070,01B0400023,北海道,札幌市西区,勤医協札幌西区病院　介護医療院,キンイキョウサッポロニシクビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市西区西町北１９丁目１−５勤医協札幌西区病院,勤医協札幌西区病院,43.086877500000000,141.276871400000000,011-663-5711,011-662-6128,3430005010758,公益社団法人北海道勤労者医療協会,01B0400023,,,0,http://www.kin-ikyo-nishiku.jp/,,,,
011100,01B0500012,北海道,札幌市清田区,介護医療院　しんえいの杜,カイゴイリョウイン　シンエイノモリ,介護医療院,北海道札幌市清田区真栄331番地真栄病院内2階,真栄病院内2階,42.978557599999990,141.444026300000000,011-886-7688,011-886-7687,1430005001461,尚仁会,01B0500012,,,0,http://www.syoujinkai.or.jp/mori/,,,,
